locality,province,stars,name
Roma,RM,1,Giuda Ballerino
Roma,RM,1,Acquolina Hostaria in Roma
Roma,RM,1,Glass Hostaria
Roma,RM,1,Imàgo ( H Hassler)
Roma,RM,1,All'Oro
Roma,RM,2,Oliver Glowig (H Aldrovandi V.Borghese)
Roma,RM,1,Open Colonna
Acquapendente- Trevinano,VT,1,La Parolina
Viterbo,VT,1,Enoteca la Torre
Nusco,AV,1,La Locanda di Bu
Sorbo Serpico,AV,1,Marennà
Vallesaccarda,AV,1,Oasis - Sapori Antichi
Caserta,CE,1,Le Colonne
Vairano Patenora,CE,1,Vairo del Volturno
Brusciano,NA,1,Taverna Estia
Capri (isola di) Anacapri,NA,1,Il Riccio (H Capri Palace)
Capri (isola di)/Anacapri,NA,2,L'Olivo (H Capri Palace)
Ischia/Lacco Ameno,NA,1,Indaco (Albergo della Regina Isabella)
Ischia/ Casamicciola Terme,NA,2,Il Mosaico (H Terme Manzi )
Massa Lubrense/Nerano,NA,1,Taverna del Capitano
Massa Lubrense/Nerano,NA,2,Quattro Passi
Napoli,NA,1,Il Comandante (Hotel Romeo)
Napoli,NA,1,Palazzo Petrucci
Quarto,NA,1,Sud
Sant' Agata sui due Golfi,NA,2,Don Alfonso 1890
Sorrento,NA,1,Il Buco
Vico Equense – Marina Equa,NA,2,Torre del Saracino
Vico Equense,NA,1,L'Accanto ( GD H Angiolieri)
Vico Equense,NA,1,Maxi (H Capo la Gala)
Vico Equense,NA,1,Antica Osteria Nonna Rosa
Amalfi,SA,1,La Caravella
Caggiano,SA,1,Locanda Severino
Eboli,SA,1,Il Papavero
Cava de' Tirreni,SA,1,Pappacarbone
Maiori,SA,1,Il Faro di Capo d'Orso
Mercato San Severino,SA,1,Casa del Nonno 13
Paestum,SA,1,Le Trabe
Positano,SA,1,San Pietro (H San Pietro)
Positano,SA,1,La Sponda ( H Le Sirenuse)
Ravello,SA,2,Rossellinis (H Palazzo Sasso)
Ravello,SA,1,Il Flauto di Pan (Hotel Villa Cimbrone)
Castel di Sangro,AQ,2,Reale
L'Aquila,AQ,1,Magione Papale
Guardiagrele,CH,1,Villa Maiella
San Salvo Marina,CH,1,Al Metrò
Civitella Casanova,PE,1,La Bandiera
Pescara,PE,1,Cafè les Paillotes
Alberobello,BA,1,Il Poeta Contadino
Bari,BA,1,Bacco
Carovigno,BR,1,Già Sotto l'Arco
